percentile,cutoff,no_of_fraud,fraud_money_value,total_amount,percent_fraud,u_2fa
0.75,0.015747600582169174,3615,553187.5480000023,16243432.18199058,0.8895177165354331,25912
0.76,0.016779469134144187,3599,550298.880000002,16243432.18199058,0.8855807086614174,24747
0.77,0.017837861414940388,3582,546585.1090000019,16243432.18199058,0.8813976377952756,23583
0.78,0.018981529132069044,3564,544080.284000002,16243432.18199058,0.8769685039370079,22420
0.79,0.020417746666468506,3542,540067.248000002,16243432.18199058,0.8715551181102362,21261
0.8,0.022016942865230326,3524,536657.2440000019,16243432.18199058,0.8671259842519685,20098
0.81,0.02390845563350444,3496,533197.1390000022,16243432.18199058,0.860236220472441,18945
0.82,0.0259456763637818,3470,529586.7110000018,16243432.18199058,0.8538385826771654,17790
0.83,0.028214940920890736,3437,523693.74000000156,16243432.18199058,0.8457185039370079,16642
0.84,0.030661942595587827,3402,518532.3500000014,16243432.18199058,0.8371062992125984,15496
0.85,0.03341020110250703,3362,512973.41100000124,16243432.18199058,0.827263779527559,14355
0.86,0.036882054971571876,3317,501361.4260000012,16243432.18199058,0.8161909448818898,13218
0.87,0.04089072779540557,3262,491740.8220000011,16243432.18199058,0.8026574803149606,12092
0.88,0.045584767183648296,3187,479917.87200000114,16243432.18199058,0.7842027559055118,10986
0.89,0.05113648011264711,3134,471568.2660000006,16243432.18199058,0.7711614173228346,9858
0.9,0.05835424818503961,3069,460291.11100000044,16243432.18199058,0.7551673228346457,8742
0.91,0.06653852365594154,2983,445765.3730000003,16243432.18199058,0.734005905511811,7647
0.92,0.07711534700616374,2892,430609.6330000004,16243432.18199058,0.7116141732283464,6558
0.93,0.09093215151498359,2805,414945.67699999997,16243432.18199058,0.6902066929133859,5463
0.94,0.10802216270156813,2684,393474.1189999994,16243432.18199058,0.6604330708661418,4403
0.95,0.1314651547716004,2555,366781.27199999854,16243432.18199058,0.6286909448818898,3353
0.96,0.17072767516516735,2357,330146.87299999804,16243432.18199058,0.5799704724409449,2368
0.97,0.23841764868097215,2133,289273.6149999983,16243432.18199058,0.5248523622047244,1411
0.98,0.38551371011011704,1805,230980.6799999987,16243432.18199058,0.44414370078740156,558
0.99,0.8215825209233947,1060,101323.62900000042,16243432.18199058,0.2608267716535433,122
