percentile,cutoff,no_of_fraud,fraud_money_value,total_amount,percent_fraud,u_2fa
0.75,0.07319926686351538,2784,398200.91499999946,16243432.18199058,0.6850393700787402,30272
0.76,0.07319926686351538,2784,398200.91499999946,16243432.18199058,0.6850393700787402,30272
0.77,0.07319926686351538,2784,398200.91499999946,16243432.18199058,0.6850393700787402,30272
0.78,0.09620542914139177,2569,368444.6139999986,16243432.18199058,0.6321358267716536,23903
0.79,0.09620542914139177,2569,368444.6139999986,16243432.18199058,0.6321358267716536,23903
0.8,0.09620542914139177,2569,368444.6139999986,16243432.18199058,0.6321358267716536,23903
0.81,0.09620542914139177,2569,368444.6139999986,16243432.18199058,0.6321358267716536,23903
0.82,0.09620542914139177,2569,368444.6139999986,16243432.18199058,0.6321358267716536,23903
0.83,0.09620542914139177,2569,368444.6139999986,16243432.18199058,0.6321358267716536,23903
0.84,0.09803064659521202,2395,333740.1359999984,16243432.18199058,0.5893208661417323,17134
0.85,0.09803064659521202,2395,333740.1359999984,16243432.18199058,0.5893208661417323,17134
0.86,0.09803064659521202,2395,333740.1359999984,16243432.18199058,0.5893208661417323,17134
0.87,0.09803064659521202,2395,333740.1359999984,16243432.18199058,0.5893208661417323,17134
0.88,0.0995693724113757,2192,305872.7689999987,16243432.18199058,0.5393700787401575,12217
0.89,0.0995693724113757,2192,305872.7689999987,16243432.18199058,0.5393700787401575,12217
0.9,0.10915410436709347,1986,270033.2909999989,16243432.18199058,0.48868110236220474,9848
0.91,0.10915410436709347,1986,270033.2909999989,16243432.18199058,0.48868110236220474,9848
0.92,0.10915410436709347,1986,270033.2909999989,16243432.18199058,0.48868110236220474,9848
0.93,0.14795213978620758,1763,232465.92899999896,16243432.18199058,0.43380905511811024,7551
0.94,0.14977735724002786,1707,222194.97499999896,16243432.18199058,0.4200295275590551,6314
0.95,0.17278351951790422,1521,202027.97699999932,16243432.18199058,0.37426181102362205,4483
0.96,0.1743222453340679,1450,186172.0379999994,16243432.18199058,0.35679133858267714,3725
0.97,0.18573219474360597,1299,161675.73699999982,16243432.18199058,0.31963582677165353,2312
0.98,0.2260689559788837,1125,133849.08800000045,16243432.18199058,0.2768208661417323,1255
0.99,0.26202379348246185,868,93747.90200000035,16243432.18199058,0.21358267716535434,378
